Question,Good_answer,Suggested_answer_1,Suggested_answer_2,Suggested_answer_3,,Level,Subthemes,Category,Quizz_ordering
Quel film a remporté l'oscar du meilleur film en 1959 ?,Gigi,La Chaîne,La Chatte sur un toit brûlant,Ma tante,,3,Oscar<1960,Oscar meilleur film,1
Quel film a remporté l'oscar du meilleur film en 1940 ?,Autant en emporte le vent,Au revoir Mr. Chips,La Chevauchée fantastique,Des souris et des hommes,,3,Oscar<1960,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1941 ?,Rebecca,Correspondant 17,Le Dictateur,L'Étrangère,,3,Oscar<1960,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1942 ?,Qu'elle était verte ma vallée,Citizen Kane,Le Défunt récalcitrant,Le Faucon maltais,,3,Oscar<1960,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1943 ?,Madame Miniver,49e Parallèle,Crimes sans châtiment,La Glorieuse Parade,,3,Oscar<1960,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1944 ?,Casablanca,Ceux qui servent en mer,Le Chant de Bernadette,Le ciel peut attendre,,3,Oscar<1960,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1945 ?,La Route semée d'étoiles,Assurance sur la mort,Depuis ton départ,Hantise,,3,Oscar<1960,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1946 ?,Le Poison,Les Cloches de Sainte-Marie,Escale à Hollywood,La Maison du docteur Edwardes,,3,Oscar<1960,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1947 ?,Les Plus Belles Années de notre vie,Le Fil du rasoir,Henry V,Jody et le Faon,,3,Oscar<1960,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1948 ?,Le Mur invisible,Feux croisés,Les Grandes Espérances,Honni soit qui mal y pense,,3,Oscar<1960,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1949 ?,Hamlet,Johnny Belinda,Les Chaussons rouges,La Fosse aux serpents,,3,Oscar<1960,Oscar meilleur film,2
Quel film a remporté l'oscar du meilleur film en 1929 ?,Les Ailes,L'Heure suprême,The Racket,,,3,Oscar<1960,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1930 ?,"À l'Ouest, rien de nouveau",Disraeli,Parade d'amour,Big House,,3,Oscar<1960,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1931 ?,La Ruée vers l'Ouest,Trader Horn,East Lynne,The Front Page,,3,Oscar<1960,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1932 ?,Grand Hotel,Arrowsmith,Bad Girl,Le Champion,,3,Oscar<1960,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1934 ?,Cavalcade,42e Rue,L'Adieu aux armes,La Foire aux illusions,,3,Oscar<1960,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1935 ?,New York-Miami,Cléopâtre,Voici la marine,Images de la vie,,3,Oscar<1960,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1936 ?,Les Révoltés du Bounty,Broadway Melody 1936,Capitaine Blood,Le Danseur du dessus,,3,Oscar<1960,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1937 ?,Le Grand Ziegfeld,L'Extravagant Mr. Deeds,Le Marquis de Saint-Évremont,Anthony Adverse,,3,Oscar<1960,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1938 ?,La Vie d'Émile Zola,Cette sacrée vérité,Capitaines courageux,Deanna et ses boys,,3,Oscar<1960,Oscar meilleur film,3
Quel film a remporté l'oscar du meilleur film en 1939 ?,Vous ne l'emporterez pas avec vous,Les Aventures de Robin des Bois,La Citadelle,La Folle Parade,,3,Oscar<1960,Oscar meilleur film,3
Qui joue Lester Burnham dans American Beauty ?,Kevin Spacey,Keanu Reeves,Choi Min-sik,Russell Crowe,,https://www.premiere.fr/Cinema/News-Cinema/Quand-les-Oscars-ont-ete-voles-en-2000,Films 1990-2004,Acteur,3
Qui joue Juror 8 dans 12 Hommes en colère ?,Henry Fonda,Marilyn Monroe,William Holden,Cary Grant,,,Films<1960,Acteur,1
Qui joue Kikuchiyo dans Les 7 Samouraïs ?,Toshirô Mifune,Takashi Shimura,Tatsuya Nakadai,Marilyn Monroe,,,Films<1960,Acteur,1
Qui joue George Bailey dans La vie est belle ?,James Stewart,Brigitte Helm,Orson Welles,Lamberto Maggiorani,,,Films<1960,Acteur,1
Qui joue Rick Blaine dans Casablanca ?,Humphrey Bogart,Lamberto Maggiorani,James Stewart,Orson Welles,,,Films<1960,Acteur,1
Qui joue A Factory Worker dans Les temps modernes ?,Charles Chaplin,Humphrey Bogart,Marilyn Monroe,Cary Grant,,,Films<1960,Acteur,1
Qui joue L.B. Jefferies dans Fenêtre sur cour ?,James Stewart,Takashi Shimura,Gene Kelly,Bette Davis,,,Films<1960,Acteur,1
Qui joue A Tramp dans Les lumières de la ville ?,Charles Chaplin,James Stewart,Kirk Douglas,Cary Grant,,,Films<1960,Acteur,1
Qui joue Joe Gillis dans Boulevard du Crépuscule ?,William Holden,Humphrey Bogart,Kirk Douglas,Cary Grant,,,Films<1960,Acteur,1
Qui joue Col. Dax dans Les sentiers de la gloire ?,Kirk Douglas,Bette Davis,Lamberto Maggiorani,Humphrey Bogart,,,Films<1960,Acteur,1
Qui joue Hynkel-Dictator of Tomania dans Le Dictateur ?,Charles Chaplin,Orson Welles,Gene Kelly,Takashi Shimura,,,Films<1960,Acteur,1
Qui joue Leonard Vole dans Témoin à charge ?,Tyrone Power,Charles Chaplin,Gene Kelly,Bette Davis,,,Films<1960,Acteur,2
Qui joue Don Lockwood dans Chantons sous la pluie ?,Gene Kelly,Toshirô Mifune,Ray Milland,Tyrone Power,,,Films<1960,Acteur,2
Qui joue Kane dans Citizen Kane ?,Orson Welles,Lamberto Maggiorani,Marilyn Monroe,James Stewart,,,Films<1960,Acteur,2
Qui joue Hans Beckert dans M le maudit ?,Peter Lorre,Gene Kelly,Marilyn Monroe,James Stewart,,,Films<1960,Acteur,2
Qui joue Roger Thornhill dans La mort aux trousses ?,Cary Grant,Humphrey Bogart,Bette Davis,James Stewart,,,Films<1960,Acteur,2
Qui joue John 'Scottie' Ferguson dans Sueurs froides ?,James Stewart,Charles Chaplin,Tyrone Power,Humphrey Bogart,,,Films<1960,Acteur,2
Qui joue Walter Neff dans Assurance sur la mort ?,Fred MacMurray,Takashi Shimura,Orson Welles,Henry Fonda,,,Films<1960,Acteur,2
Qui joue Kanji Watanabe dans Vivre ?,Takashi Shimura,Toshirô Mifune,Tatsuya Nakadai,Cary Grant,,,Films<1960,Acteur,2
Qui joue Maria dans Metropolis ?,Brigitte Helm,Grace Kelly,Marylin Monroe,Katharine Hepburn,,,Films<1960,Acteur,2
Qui joue Antonio dans Voleur de bicyclette ?,Lamberto Maggiorani,Peter Lorre,Clark Gable,Ray Milland,,,Films<1960,Acteur,2
Qui joue A Tramp dans Le Kid ?,Charles Chaplin,Peter Lorre,James Stewart,Humphrey Bogart,,,Films<1960,Acteur,3
Qui joue Sugar Kane Kowalczyk dans Certains l'aiment chaud ?,Marilyn Monroe,Grace Kelly,Brigitte Helm,Katharine Hepburn,,,Films<1960,Acteur,3
Qui joue Margo dans Ève... ?,Bette Davis,Peter Lorre,James Stewart,Gene Kelly,,,Films<1960,Acteur,3
Qui joue Fred C. Dobbs dans Le Trésor de la Sierra Madre ?,Humphrey Bogart,Ray Milland,Marilyn Monroe,Clark Gable,,,Films<1960,Acteur,3
Qui joue Tajômaru dans Rashomon ?,Toshirô Mifune,Tsutomu Tatsumi,Tatsuya Nakadai,Clark Gable,,,Films<1960,Acteur,3
Qui joue Rhett Butler-Visitor from Charleston dans Autant en emporte le vent ?,Clark Gable,Cary Grant,William Holden,Henry Fonda,,,Films<1960,Acteur,3
Qui joue Tony Wendice dans Le crime était presque parfait ?,Ray Milland,Kirk Douglas,William Holden,James Stewart,,,Films<1960,Acteur,3
Qui joue Shears dans Le pont de la rivière Kwaï ?,William Holden,Fred MacMurray,Toshirô Mifune,Charles Chaplin,,,Films<1960,Acteur,3
Qui joue The Lone Prospector dans La ruée vers l'or ?,Charles Chaplin,William Holden,Toshirô Mifune,Tyrone Power,,,Films<1960,Acteur,3
Qui joue Terry Malloy dans Sur les quais... ?,Marlon Brando,William Holden,Toshirô Mifune,Clark Gable,,,Films<1960,Acteur,3
En quelle année a été réalisé 12 Hommes en colère ?,1957,1943,1938,1949,,,Films<1960,Année,1
En quelle année a été réalisé Les 7 Samouraïs ?,1954,1949,1938,1948,,,Films<1960,Année,1
En quelle année a été réalisé La vie est belle ?,1946,1945,1951,1927,,,Films<1960,Année,1
En quelle année a été réalisé Casablanca ?,1942,1955,1943,1953,,,Films<1960,Année,1
En quelle année a été réalisé Les temps modernes ?,1936,1945,1938,1933,,,Films<1960,Année,1
En quelle année a été réalisé Fenêtre sur cour ?,1954,1953,1948,1933,,,Films<1960,Année,1
En quelle année a été réalisé Les lumières de la ville ?,1931,1942,1936,1947,,,Films<1960,Année,1
En quelle année a été réalisé Boulevard du Crépuscule ?,1950,1954,1943,1929,,,Films<1960,Année,1
En quelle année a été réalisé Les sentiers de la gloire ?,1957,1930,1951,1945,,,Films<1960,Année,1
En quelle année a été réalisé Le Dictateur ?,1940,1947,1958,1945,,,Films<1960,Année,1
En quelle année a été réalisé Témoin à charge ?,1957,1955,1951,1938,,,Films<1960,Année,2
En quelle année a été réalisé Chantons sous la pluie ?,1952,1928,1949,1930,,,Films<1960,Année,2
En quelle année a été réalisé Citizen Kane ?,1941,1939,1934,1953,,,Films<1960,Année,2
En quelle année a été réalisé M le maudit ?,1931,1954,1939,1938,,,Films<1960,Année,2
En quelle année a été réalisé La mort aux trousses ?,1959,1949,1937,1938,,,Films<1960,Année,2
En quelle année a été réalisé Sueurs froides ?,1958,1941,1948,1947,,,Films<1960,Année,2
En quelle année a été réalisé Assurance sur la mort ?,1944,1945,1928,1943,,,Films<1960,Année,2
En quelle année a été réalisé Vivre ?,1952,1956,1932,1936,,,Films<1960,Année,2
En quelle année a été réalisé Metropolis ?,1927,1934,1928,1954,,,Films<1960,Année,2
En quelle année a été réalisé Voleur de bicyclette ?,1948,1942,1945,1931,,,Films<1960,Année,2
En quelle année a été réalisé Le Kid ?,1921,1947,1952,1949,,,Films<1960,Année,3
En quelle année a été réalisé Certains l'aiment chaud ?,1959,1941,1958,1955,,,Films<1960,Année,3
En quelle année a été réalisé Ève... ?,1950,1939,1940,1929,,,Films<1960,Année,3
En quelle année a été réalisé Le Trésor de la Sierra Madre ?,1948,1944,1940,1954,,,Films<1960,Année,3
En quelle année a été réalisé Rashomon ?,1950,1941,1951,1944,,,Films<1960,Année,3
En quelle année a été réalisé Autant en emporte le vent ?,1939,1948,1958,1945,,,Films<1960,Année,3
En quelle année a été réalisé Le crime était presque parfait ?,1954,1951,1928,1934,,,Films<1960,Année,3
En quelle année a été réalisé Le pont de la rivière Kwaï ?,1957,1944,1942,1958,,,Films<1960,Année,3
En quelle année a été réalisé La ruée vers l'or ?,1925,1929,1933,1928,,,Films<1960,Année,3
En quelle année a été réalisé Sur les quais... ?,1954,1955,1936,1942,,,Films<1960,Année,3
Qui a réalisé 12 Hommes en colère ?,Sidney Lumet,Vittorio De Sica,Elia Kazan,Fritz Lang,,,Films<1960,Producteur,1
Qui a réalisé Les 7 Samouraïs ?,Akira Kurosawa,Billy Wilder,Elia Kazan,Stanley Donen,,,Films<1960,Producteur,1
Qui a réalisé La vie est belle ?,Frank Capra,Elia Kazan,Billy Wilder,Stanley Donen,,,Films<1960,Producteur,1
Qui a réalisé Casablanca ?,Michael Curtiz,Frank Capra,Billy Wilder,Charles Chaplin,,,Films<1960,Producteur,1
Qui a réalisé Les temps modernes ?,Charles Chaplin,Akira Kurosawa,Billy Wilder,Orson Welles,,,Films<1960,Producteur,1
Qui a réalisé Fenêtre sur cour ?,Alfred Hitchcock,Billy Wilder,David Lean,Akira Kurosawa,,,Films<1960,Producteur,1
Qui a réalisé Les lumières de la ville ?,Charles Chaplin,Stanley Kubrick,Stanley Donen,Akira Kurosawa,,,Films<1960,Producteur,1
Qui a réalisé Boulevard du Crépuscule ?,Billy Wilder,Alfred Hitchcock,Orson Welles,Akira Kurosawa,,,Films<1960,Producteur,1
Qui a réalisé Les sentiers de la gloire ?,Stanley Kubrick,Sidney Lumet,Billy Wilder,Orson Welles,,,Films<1960,Producteur,1
Qui a réalisé Le Dictateur ?,Charles Chaplin,Billy Wilder,Frank Capra,John Huston,,,Films<1960,Producteur,1
Qui a réalisé Témoin à charge ?,Billy Wilder,Sidney Lumet,Frank Capra,Joseph L. Mankiewicz,,,Films<1960,Producteur,2
Qui a réalisé Chantons sous la pluie ?,Stanley Donen,Vittorio De Sica,Billy Wilder,Victor Fleming,,,Films<1960,Producteur,2
Qui a réalisé Citizen Kane ?,Orson Welles,Billy Wilder,Stanley Donen,Akira Kurosawa,,,Films<1960,Producteur,2
Qui a réalisé M le maudit ?,Fritz Lang,Akira Kurosawa,Alfred Hitchcock,Vittorio De Sica,,,Films<1960,Producteur,2
Qui a réalisé La mort aux trousses ?,Alfred Hitchcock,Akira Kurosawa,Stanley Kubrick,Joseph L. Mankiewicz,,,Films<1960,Producteur,2
Qui a réalisé Sueurs froides ?,Alfred Hitchcock,David Lean,Stanley Kubrick,Akira Kurosawa,,,Films<1960,Producteur,2
Qui a réalisé Assurance sur la mort ?,Billy Wilder,Vittorio De Sica,Charles Chaplin,Akira Kurosawa,,,Films<1960,Producteur,2
Qui a réalisé Vivre ?,Akira Kurosawa,Victor Fleming,Charles Chaplin,Frank Capra,,,Films<1960,Producteur,2
Qui a réalisé Metropolis ?,Fritz Lang,Akira Kurosawa,Charles Chaplin,Stanley Donen,,,Films<1960,Producteur,2
Qui a réalisé Voleur de bicyclette ?,Vittorio De Sica,Billy Wilder,Victor Fleming,Fritz Lang,,,Films<1960,Producteur,2
Qui a réalisé Le Kid ?,Charles Chaplin,Vittorio De Sica,Billy Wilder,Michael Curtiz,,,Films<1960,Producteur,3
Qui a réalisé Certains l'aiment chaud ?,Billy Wilder,David Lean,Victor Fleming,Michael Curtiz,,,Films<1960,Producteur,3
Qui a réalisé Ève... ?,Joseph L. Mankiewicz,Stanley Donen,Billy Wilder,John Huston,,,Films<1960,Producteur,3
Qui a réalisé Le Trésor de la Sierra Madre ?,John Huston,Charles Chaplin,Billy Wilder,Stanley Donen,,,Films<1960,Producteur,3
Qui a réalisé Rashomon ?,Akira Kurosawa,Billy Wilder,Alfred Hitchcock,Charles Chaplin,,,Films<1960,Producteur,3
Qui a réalisé Autant en emporte le vent ?,Victor Fleming,Vittorio De Sica,Stanley Kubrick,Billy Wilder,,,Films<1960,Producteur,3
Qui a réalisé Le crime était presque parfait ?,Alfred Hitchcock,Vittorio De Sica,Joseph L. Mankiewicz,Akira Kurosawa,,,Films<1960,Producteur,3
Qui a réalisé Le pont de la rivière Kwaï ?,David Lean,Alfred Hitchcock,Fritz Lang,Charles Chaplin,,,Films<1960,Producteur,3
Qui a réalisé La ruée vers l'or ?,Charles Chaplin,Sidney Lumet,Frank Capra,Billy Wilder,,,Films<1960,Producteur,3
Qui a réalisé Sur les quais... ?,Elia Kazan,Charles Chaplin,Frank Capra,Alfred Hitchcock,,,Films<1960,Producteur,3
Qui joue Don Vito Corleone dans Le Parrain ?,Marlon Brando,F. Murray Abraham,Keir Dullea,Jack Nicholson,,,Films 1960-1989,Acteur,1
"Qui joue Michael dans Le Parrain, 2ᵉ partie ?",Al Pacino,Malcolm McDowell,Keir Dullea,Jack Nicholson,,,Films 1960-1989,Acteur,1
"Qui joue Blondie dans Le Bon, la brute, le truand ?",Clint Eastwood,Malcolm McDowell,Anthony Perkins,Jack Nicholson,,,Films 1960-1989,Acteur,1
Qui joue Luke Skywalker dans L'Empire contre-attaque ?,Mark Hamill,Jürgen Prochnow,Al Pacino,Martin Sheen,,,Films 1960-1989,Acteur,1
Qui joue R.P. McMurphy dans Vol au-dessus d'un nid de coucou ?,Jack Nicholson,Marlon Brando,Jürgen Prochnow,F. Murray Abraham,,,Films 1960-1989,Acteur,1
Qui joue Luke Skywalker dans La guerre des étoiles ?,Mark Hamill,Tsutomu Tatsumi,Al Pacino,Robert De Niro,,,Films 1960-1989,Acteur,1
Qui joue Marty McFly dans Retour vers le futur ?,Michael J. Fox,Keir Dullea,Peter O'Toole,Clint Eastwood,,,Films 1960-1989,Acteur,1
Qui joue Norman Bates dans Psychose ?,Anthony Perkins,Mark Hamill,Henry Fonda,Jack Nicholson,,,Films 1960-1989,Acteur,1
Qui joue Seita dans Le tombeau des lucioles ?,Tsutomu Tatsumi,Toshirô Mifune,Tatsuya Nakadai,Jack Nicholson,,,Films 1960-1989,Acteur,1
Qui joue Hanshiro Tsugumo dans Harakiri ?,Tatsuya Nakadai,Tsutomu Tatsumi,Toshirô Mifune,Jack Lemmon,,,Films 1960-1989,Acteur,1
Qui joue Frank dans Il était une fois dans l'Ouest ?,Henry Fonda,Anthony Perkins,Matthew Modine,Jack Lemmon,,,Films 1960-1989,Acteur,2
Qui joue Ripley dans Alien-Le 8ème passager ?,Sigourney Weaver,Peter Sellers,Tsutomu Tatsumi,Anthony Perkins,,,Films 1960-1989,Acteur,2
Qui joue Alfredo dans Cinéma Paradiso ?,Philippe Noiret,Henry Fonda,Jack Lemmon,Jack Nicholson,,,Films 1960-1989,Acteur,2
Qui joue Captain Benjamin L. Willard dans Apocalypse Now ?,Martin Sheen,Peter O'Toole,Philippe Noiret,Tsutomu Tatsumi,,,Films 1960-1989,Acteur,2
Qui joue Indy dans Les Aventuriers de l'arche perdue ?,Harrison Ford,Keir Dullea,Philippe Noiret,Sigourney Weaver,,,Films 1960-1989,Acteur,2
Qui joue Jack Torrance dans Shining ?,Jack Nicholson,Martin Sheen,Al Pacino,Sigourney Weaver,,,Films 1960-1989,Acteur,2
Qui joue Ripley dans Aliens-Le Retour ?,Sigourney Weaver,Philippe Noiret,Peter O'Toole,Al Pacino,,,Films 1960-1989,Acteur,2
Qui joue Group Capt. Lionel Mandrake dans Dr. Folamour ou-Comment j'ai appris à ne plus m'en faire et à aimer la bombe ! ?,Peter Sellers,Sigourney Weaver,Al Pacino,Jack Nicholson,,,Films 1960-1989,Acteur,2
Qui joue Antonio Salieri dans Amadeus ?,F. Murray Abraham,Anthony Perkins,Sigourney Weaver,Jack Nicholson,,,Films 1960-1989,Acteur,2
Qui joue Capt.-Lt. Henrich Lehmann-Willenbrock-Der Alte dans Le Bateau ?,Jürgen Prochnow,Tsutomu Tatsumi,Jack Nicholson,Martin Sheen,,,Films 1960-1989,Acteur,2
Qui joue Noodles dans Il était une fois en Amérique ?,Robert De Niro,Jack Nicholson,Tsutomu Tatsumi,Philippe Noiret,,,Films 1960-1989,Acteur,3
Qui joue Kingo Gondo dans Entre le ciel et l'enfer ?,Toshirô Mifune,Henry Fonda,Jack Nicholson,Harrison Ford,,,Films 1960-1989,Acteur,3
Qui joue Luke Skywalker dans Le Retour du Jedi ?,Mark Hamill,Jack Nicholson,Keir Dullea,Robert De Niro,,,Films 1960-1989,Acteur,3
Qui joue Dr. Dave Bowman dans 2001 - L'Odyssée de l'espace ?,Keir Dullea,Aleksey Kravchenko,Philippe Noiret,Mark Hamill,,,Films 1960-1989,Acteur,3
Qui joue Lawrence dans Lawrence d'Arabie ?,Peter O'Toole,F. Murray Abraham,Toshirô Mifune,Mark Hamill,,,Films 1960-1989,Acteur,3
Qui joue Flyora Gayshun dans Requiem pour un massacre-Va et regarde ?,Aleksey Kravchenko,Jack Nicholson,Toshirô Mifune,Clint Eastwood,,,Films 1960-1989,Acteur,3
Qui joue Alex dans Orange mécanique ?,Malcolm McDowell,Tsutomu Tatsumi,Al Pacino,Sigourney Weaver,,,Films 1960-1989,Acteur,3
Qui joue C.C. Baxter dans La garçonnière ?,Jack Lemmon,Peter O'Toole,F. Murray Abraham,Jack Nicholson,,,Films 1960-1989,Acteur,3
Qui joue Pvt. Joker dans Full Metal Jacket ?,Matthew Modine,Marlon Brando,F. Murray Abraham,Sigourney Weaver,,,Films 1960-1989,Acteur,3
Qui joue Tony Montana dans Scarface ?,Al Pacino,Matthew Modine,Tatsuya Nakadai,Jack Lemmon,,,Films 1960-1989,Acteur,3
En quelle année a été réalisé Le Parrain ?,1972,1978,1984,1969,,,Films 1960-1989,Année,1
"En quelle année a été réalisé Le Parrain, 2ᵉ partie ?",1974,1970,1978,1975,,,Films 1960-1989,Année,1
"En quelle année a été réalisé Le Bon, la brute, le truand ?",1966,1963,1975,1987,,,Films 1960-1989,Année,1
En quelle année a été réalisé L'Empire contre-attaque ?,1980,1977,1965,1989,,,Films 1960-1989,Année,1
En quelle année a été réalisé Vol au-dessus d'un nid de coucou ?,1975,1980,1972,1962,,,Films 1960-1989,Année,1
En quelle année a été réalisé La guerre des étoiles ?,1977,1963,1979,1984,,,Films 1960-1989,Année,1
En quelle année a été réalisé Retour vers le futur ?,1985,1970,1968,1981,,,Films 1960-1989,Année,1
En quelle année a été réalisé Psychose ?,1960,1974,1978,1986,,,Films 1960-1989,Année,1
En quelle année a été réalisé Le tombeau des lucioles ?,1988,1966,1961,1982,,,Films 1960-1989,Année,1
En quelle année a été réalisé Harakiri ?,1962,1982,1979,1986,,,Films 1960-1989,Année,1
En quelle année a été réalisé Il était une fois dans l'Ouest ?,1968,1974,1988,1975,,,Films 1960-1989,Année,2
En quelle année a été réalisé Alien-Le 8ème passager ?,1979,1980,1970,1978,,,Films 1960-1989,Année,2
En quelle année a été réalisé Cinéma Paradiso ?,1988,1983,1960,1979,,,Films 1960-1989,Année,2
En quelle année a été réalisé Apocalypse Now ?,1979,1978,1980,1982,,,Films 1960-1989,Année,2
En quelle année a été réalisé Les Aventuriers de l'arche perdue ?,1981,1977,1980,1985,,,Films 1960-1989,Année,2
En quelle année a été réalisé Shining ?,1980,1966,1977,1972,,,Films 1960-1989,Année,2
En quelle année a été réalisé Aliens - Le Retour ?,1986,1970,1974,1980,,,Films 1960-1989,Année,2
En quelle année a été réalisé Dr. Folamour ou - Comment j'ai appris à ne plus m'en faire et à aimer la bombe ! ?,1964,1973,1960,1971,,,Films 1960-1989,Année,2
En quelle année a été réalisé Amadeus ?,1984,1967,1976,1989,,,Films 1960-1989,Année,2
En quelle année a été réalisé Le Bateau ?,1981,1972,1975,1988,,,Films 1960-1989,Année,2
En quelle année a été réalisé Il était une fois en Amérique ?,1984,1968,1975,1965,,,Films 1960-1989,Année,3
En quelle année a été réalisé Entre le ciel et l'enfer ?,1963,1978,1974,1983,,,Films 1960-1989,Année,3
En quelle année a été réalisé Le Retour du Jedi ?,1983,1985,1980,1969,,,Films 1960-1989,Année,3
En quelle année a été réalisé 2001 - L'Odyssée de l'espace ?,1968,1977,1962,1981,,,Films 1960-1989,Année,3
En quelle année a été réalisé Lawrence d'Arabie ?,1962,1986,1976,1975,,,Films 1960-1989,Année,3
En quelle année a été réalisé Requiem pour un massacre-Va et regarde ?,1985,1969,1965,1988,,,Films 1960-1989,Année,3
En quelle année a été réalisé Orange mécanique ?,1971,1982,1980,1976,,,Films 1960-1989,Année,3
En quelle année a été réalisé La garçonnière ?,1960,1985,1982,1987,,,Films 1960-1989,Année,3
En quelle année a été réalisé Full Metal Jacket ?,1987,1989,1966,1980,,,Films 1960-1989,Année,3
En quelle année a été réalisé Scarface ?,1983,1981,1980,1977,,,Films 1960-1989,Année,3
Qui a réalisé Le Parrain ?,Francis Ford Coppola,Charles Chaplin,Isao Takahata,Steven Spielberg,,,Films 1960-1989,Producteur,1
"Qui a réalisé Le Parrain, 2ᵉ partie ?",Francis Ford Coppola,Sergio Leone,Wolfgang Petersen,Alfred Hitchcock,,,Films 1960-1989,Producteur,1
"Qui a réalisé Le Bon, la brute, le truand ?",Sergio Leone,Wolfgang Petersen,Brian De Palma,Francis Ford Coppola,,,Films 1960-1989,Producteur,1
Qui a réalisé L'Empire contre-attaque ?,Irvin Kershner,David Lean,Alfred Hitchcock,Brian De Palma,,,Films 1960-1989,Producteur,1
Qui a réalisé Vol au-dessus d'un nid de coucou ?,Milos Forman,Billy Wilder,Alfred Hitchcock,Masaki Kobayashi,,,Films 1960-1989,Producteur,1
Qui a réalisé La guerre des étoiles ?,George Lucas,Stanley Kubrick,Steven Spielberg,Richard Marquand,,,Films 1960-1989,Producteur,1
Qui a réalisé Retour vers le futur ?,Robert Zemeckis,Alfred Hitchcock,David Lean,Stanley Kubrick,,,Films 1960-1989,Producteur,1
Qui a réalisé Psychose ?,Alfred Hitchcock,David Lean,Stanley Kubrick,Wolfgang Petersen,,,Films 1960-1989,Producteur,1
Qui a réalisé Le tombeau des lucioles ?,Isao Takahata,Steven Spielberg,Irvin Kershner,Stanley Kubrick,,,Films 1960-1989,Producteur,1
Qui a réalisé Harakiri ?,Masaki Kobayashi,Milos Forman,Alfred Hitchcock,Sergio Leone,,,Films 1960-1989,Producteur,1
Qui a réalisé Il était une fois dans l'Ouest ?,Sergio Leone,Milos Forman,George Lucas,Elem Klimov,,,Films 1960-1989,Producteur,2
Qui a réalisé Alien-Le 8ème passager ?,Ridley Scott,George Lucas,Akira Kurosawa,Brian De Palma,,,Films 1960-1989,Producteur,2
Qui a réalisé Cinéma Paradiso ?,Giuseppe Tornatore,George Lucas,Sergio Leone,Francis Ford Coppola,,,Films 1960-1989,Producteur,2
Qui a réalisé Apocalypse Now ?,Francis Ford Coppola,Stanley Kubrick,Steven Spielberg,Brian De Palma,,,Films 1960-1989,Producteur,2
Qui a réalisé Les Aventuriers de l'arche perdue ?,Steven Spielberg,Stanley Kubrick,James Cameron,Brian De Palma,,,Films 1960-1989,Producteur,2
Qui a réalisé Shining ?,Stanley Kubrick,Sergio Leone,James Cameron,Akira Kurosawa,,,Films 1960-1989,Producteur,2
Qui a réalisé Aliens - Le Retour ?,James Cameron,Sergio Leone,Milos Forman,Akira Kurosawa,,,Films 1960-1989,Producteur,2
Qui a réalisé Dr. Folamour ou - Comment j'ai appris à ne plus m'en faire et à aimer la bombe ! ?,Stanley Kubrick,Sergio Leone,Masaki Kobayashi,Francis Ford Coppola,,,Films 1960-1989,Producteur,2
Qui a réalisé Amadeus ?,Milos Forman,Richard Marquand,Masaki Kobayashi,Sergio Leone,,,Films 1960-1989,Producteur,2
Qui a réalisé Le Bateau ?,Wolfgang Petersen,Ridley Scott,Steven Spielberg,Sergio Leone,,,Films 1960-1989,Producteur,2
Qui a réalisé Il était une fois en Amérique ?,Sergio Leone,Alfred Hitchcock,Steven Spielberg,Stanley Kubrick,,,Films 1960-1989,Producteur,3
Qui a réalisé Entre le ciel et l'enfer ?,Akira Kurosawa,Sergio Leone,Steven Spielberg,Milos Forman,,,Films 1960-1989,Producteur,3
Qui a réalisé Le Retour du Jedi ?,Richard Marquand,Wolfgang Petersen,George Lucas,Milos Forman,,,Films 1960-1989,Producteur,3
Qui a réalisé 2001 - L'Odyssée de l'espace ?,Stanley Kubrick,Milos Forman,Billy Wilder,Masaki Kobayashi,,,Films 1960-1989,Producteur,3
Qui a réalisé Lawrence d'Arabie ?,David Lean,Sergio Leone,Billy Wilder,Masaki Kobayashi,,,Films 1960-1989,Producteur,3
Qui a réalisé Requiem pour un massacre-Va et regarde ?,Elem Klimov,George Lucas,Billy Wilder,Ridley Scott,,,Films 1960-1989,Producteur,3
Qui a réalisé Orange mécanique ?,Stanley Kubrick,Giuseppe Tornatore,James Cameron,Steven Spielberg,,,Films 1960-1989,Producteur,3
Qui a réalisé La garçonnière ?,Billy Wilder,Sergio Leone,Giuseppe Tornatore,James Cameron,,,Films 1960-1989,Producteur,3
